"","femicidios","month"
"1",8,2003-01-01
"2",4,2003-02-01
"3",6,2003-03-01
"4",5,2003-04-01
"5",6,2003-05-01
"6",8,2003-06-01
"7",8,2003-07-01
"8",8,2003-08-01
"9",4,2003-09-01
"10",2,2003-10-01
"11",9,2003-11-01
"12",3,2003-12-01
"13",2,2004-01-01
"14",5,2004-02-01
"15",6,2004-03-01
"16",6,2004-04-01
"17",8,2004-05-01
"18",6,2004-06-01
"19",7,2004-07-01
"20",6,2004-08-01
"21",7,2004-09-01
"22",7,2004-10-01
"23",4,2004-11-01
"24",8,2004-12-01
"25",6,2005-01-01
"26",5,2005-02-01
"27",3,2005-03-01
"28",5,2005-04-01
"29",4,2005-05-01
"30",6,2005-06-01
"31",4,2005-07-01
"32",6,2005-08-01
"33",4,2005-09-01
"34",5,2005-10-01
"35",6,2005-11-01
"36",3,2005-12-01
"37",9,2006-01-01
"38",4,2006-02-01
"39",9,2006-03-01
"40",5,2006-04-01
"41",5,2006-05-01
"42",2,2006-06-01
"43",8,2006-07-01
"44",9,2006-08-01
"45",4,2006-09-01
"46",6,2006-10-01
"47",2,2006-11-01
"48",6,2006-12-01
"49",5,2007-01-01
"50",9,2007-02-01
"51",4,2007-03-01
"52",4,2007-04-01
"53",7,2007-05-01
"54",10,2007-06-01
"55",8,2007-07-01
"56",7,2007-08-01
"57",4,2007-09-01
"58",5,2007-10-01
"59",7,2007-11-01
"60",1,2007-12-01
"61",7,2008-01-01
"62",8,2008-02-01
"63",4,2008-03-01
"64",5,2008-04-01
"65",3,2008-05-01
"66",5,2008-06-01
"67",5,2008-07-01
"68",8,2008-08-01
"69",7,2008-09-01
"70",7,2008-10-01
"71",6,2008-11-01
"72",11,2008-12-01
"73",5,2009-01-01
"74",5,2009-02-01
"75",2,2009-03-01
"76",9,2009-04-01
"77",5,2009-05-01
"78",6,2009-06-01
"79",6,2009-07-01
"80",6,2009-08-01
"81",6,2009-09-01
"82",1,2009-10-01
"83",5,2009-11-01
"84",3,2009-12-01
"85",4,2010-01-01
"86",7,2010-02-01
"87",8,2010-03-01
"88",6,2010-04-01
"89",5,2010-05-01
"90",10,2010-06-01
"91",2,2010-07-01
"92",8,2010-08-01
"93",6,2010-09-01
"94",7,2010-10-01
"95",7,2010-11-01
"96",8,2010-12-01
"97",5,2011-01-01
"98",3,2011-02-01
"99",3,2011-03-01
"100",8,2011-04-01
"101",2,2011-05-01
"102",7,2011-06-01
"103",4,2011-07-01
"104",6,2011-08-01
"105",6,2011-09-01
"106",3,2011-10-01
"107",6,2011-11-01
"108",8,2011-12-01
"109",2,2012-01-01
"110",2,2012-02-01
"111",4,2012-03-01
"112",3,2012-04-01
"113",10,2012-05-01
"114",3,2012-06-01
"115",2,2012-07-01
"116",2,2012-08-01
"117",7,2012-09-01
"118",6,2012-10-01
"119",3,2012-11-01
"120",4,2012-12-01
"121",4,2013-01-01
"122",8,2013-02-01
"123",6,2013-03-01
"124",6,2013-04-01
"125",2,2013-05-01
"126",2,2013-06-01
"127",2,2013-07-01
"128",8,2013-08-01
"129",5,2013-09-01
"130",5,2013-10-01
"131",2,2013-11-01
"132",7,2013-12-01
"133",5,2014-01-01
"134",8,2014-02-01
"135",4,2014-03-01
"136",2,2014-04-01
"137",3,2014-05-01
"138",3,2014-06-01
"139",8,2014-07-01
"140",2,2014-08-01
"141",2,2014-09-01
"142",5,2014-10-01
"143",5,2014-11-01
"144",3,2014-12-01
"145",2,2015-01-01
"146",4,2015-02-01
"147",1,2015-03-01
"148",4,2015-04-01
"149",5,2015-05-01
"150",9,2015-06-01
"151",6,2015-07-01
"152",2,2015-08-01
"153",7,2015-09-01
"154",7,2015-10-01
"155",10,2015-11-01
"156",8,2015-12-01
"157",3,2016-01-01
"158",2,2016-02-01
"159",3,2016-03-01
"160",3,2016-04-01
"161",2,2016-05-01
"162",6,2016-06-01
"163",3,2016-07-01
"164",2,2016-08-01
"165",4,2016-09-01
"166",4,2016-10-01
"167",4,2016-11-01
"168",6,2016-12-01
"169",9,2017-01-01
